,Country,League,Date,Team,Chance,Bet,Percentage
144,england,CHAMPIONSHIP (11),20-08-2022,West Brom vs Hull,Double Chance,1X,81%
180,england,LEAGUE 1 (12),20-08-2022,Charlton vs Cambridge Utd,Double Chance,1X,83%
225,england,LEAGUE 1 (12),20-08-2022,Oxford Utd vs Morecambe,Double Chance,1X,81%
252,england,LEAGUE 1 (12),20-08-2022,Shrewsbury vs Ipswich,Double Chance,X2,80%
288,england,LEAGUE 2 (12),20-08-2022,Crawley Town vs AFC Wimbledon,Double Chance,12,80%
297,england,LEAGUE 2 (12),20-08-2022,Crewe vs Northampton,Double Chance,12,80%
315,england,LEAGUE 2 (12),20-08-2022,Gillingham vs Walsall,Double Chance,12,80%
342,england,LEAGUE 2 (12),20-08-2022,Newport County vs Tranmere,Double Chance,1X,80%
378,spain,PRIMERA LIGA (5),19-08-2022,Sevilla vs Valladolid,Double Chance,1X,84%
387,spain,PRIMERA LIGA (5),20-08-2022,Osasuna vs Cadiz,Double Chance,1X,83%
405,spain,PRIMERA LIGA (5),20-08-2022,Celta Vigo vs Real Madrid,Double Chance,12,82%
423,spain,SEGUNDA (6),19-08-2022,CD Alaves vs Mirandes,Double Chance,1X,81%
459,spain,SEGUNDA (6),20-08-2022,Granada vs Racing Santander,Double Chance,1X,83%
468,germany,BUNDESLIGA I (7),19-08-2022,Borussia Mgladbach vs Hertha Berlin,Double Chance,1X,82%
477,germany,BUNDESLIGA I (7),20-08-2022,Borussia Dortmund vs Werder Bremen,Double Chance,1X,81%
495,germany,BUNDESLIGA I (7),20-08-2022,Wolfsburg vs Schalke,Double Chance,1X,80%
513,germany,BUNDESLIGA I (7),20-08-2022,VfB Stuttgart vs SC Freiburg,Double Chance,12,80%
540,germany,BUNDESLIGA II (6),19-08-2022,Magdeburg vs Hannover 96,Double Chance,12,80%
549,germany,BUNDESLIGA II (6),20-08-2022,Paderborn vs Holstein Kiel,Double Chance,1X,82%
603,germany,3.LIGA (7),20-08-2022,Waldhof Mannheim vs Borussia Dortmund II,Double Chance,1X,80%
711,italy,SERIE B (4),20-08-2022,Ascoli vs Spal,Double Chance,1X,80%
864,austria,BUNDESLIGA (3),20-08-2022,SCR Altach vs Austria Lustenau,Double Chance,12,80%
900,belgium,FIRST DIVISION A (3),20-08-2022,Genk vs Cercle Brugge,Double Chance,1X,84%
909,belgium,FIRST DIVISION B (4),19-08-2022,Deinze vs Genk II,Double Chance,12,80%
918,belgium,FIRST DIVISION B (4),19-08-2022,Standard Liege II vs KFCO Beerschot Wilrijk,Double Chance,12,80%
963,bolivia,CLAUSURA (5),20-08-2022,Independiente Petrolero vs Real Santa Cruz,Double Chance,1X,84%
1008,brazil,COPA DO BRASIL (1),19-08-2022,America MG vs Sao Paulo,Double Chance,12,80%
1017,bulgaria,FIRST LEAGUE (3),19-08-2022,Botev Plovdiv vs Cherno More Varna,Double Chance,12,80%
1044,chile,CUP (1),19-08-2022,Cobresal vs Universidad de Chile,Double Chance,1X,82%
1089,colombia,PRIMERA A (4),20-08-2022,Deportivo Pereira vs Cortulua,Double Chance,1X,82%
1197,czech republic,2. LIGA (6),19-08-2022,Opava vs MFK Vyskov,Double Chance,1X,82%
1233,czech republic,2. LIGA (6),20-08-2022,SK Lisen vs FK Pribram,Double Chance,1X,84%
1260,denmark,SUPERLIGAEN (2),20-08-2022,Midtjylland vs AGF Aarhus,Double Chance,1X,82%
1269,denmark,DIVISION 1 (4),19-08-2022,Hvidovre IF vs HB Køge,Double Chance,1X,82%
1278,denmark,DIVISION 1 (4),19-08-2022,FC Helsingor vs Fremad Amager,Double Chance,1X,81%
1305,ecuador,CAMPEONATO NACIONAL (3),20-08-2022,Gualaceo SC vs Tecnico Universitario,Double Chance,1X,80%
1314,ecuador,CAMPEONATO NACIONAL (3),20-08-2022,Orense vs Barcelona Guayaquil,Double Chance,X2,80%
1350,finland,DIVISION 1 (3),20-08-2022,PEPO vs KTP,Double Chance,12,80%
1359,finland,DIVISION 1 (3),20-08-2022,FF Jaro vs JaPS,Double Chance,1X,83%
